Post{title='PC-версию God of War: Ragnarok объявят очень скоро. В этом уверены инсайдеры', detailsLink='https://4pda.to/2024/05/29/428320/pc_versiyu_god_of_war_ragnarok_obyavyat_ochen_skoro_v_etom_uvereny_insajdery/', author='Валентин Карузов', authorDetailsLink='/forum/index.php?showuser=9326780', dateOfCreated='12:15'}
Post{title='Портативная колонка Beats Pill 2024 рассекречена до премьеры', detailsLink='https://4pda.to/2024/05/29/428312/portativnaya_kolonka_beats_pill_2024_rassekrechena_do_premery/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='12:00'}
Post{title='Microsoft Edge стал намного быстрее даже на компьютерах с HDD', detailsLink='https://4pda.to/2024/05/29/428311/microsoft_edge_stal_namnogo_bystree_dazhe_na_kompyuterakh_s_hdd/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='11:30'}
Post{title='Вышел кинематографический тизер Call of Duty: Black Ops 6 [ВИДЕО]', detailsLink='https://4pda.to/2024/05/29/428318/vyshel_kinematograficheskij_tizer_call_of_duty_black_ops_6_video/', author='Валентин Карузов', authorDetailsLink='/forum/index.php?showuser=9326780', dateOfCreated='11:15'}
Post{title='Анонсирован корпус Zalman P50 DS для материнских плат-«перевёртышей»', detailsLink='https://4pda.to/2024/05/29/428310/anonsirovan_korpus_zalman_p50_ds_dlya_materinskikh_plat_perevyortyshej/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='11:00'}
Post{title='BYD представила платформу для автомобилей с запасом хода более 2200 км', detailsLink='https://4pda.to/2024/05/29/428309/byd_predstavila_platformu_dlya_avtomobilej_s_zapasom_khoda_bolee_2200_km/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='10:30'}
Post{title='Дизайн и важные характеристики умного кольца Galaxy Ring подтверждены официально', detailsLink='https://4pda.to/2024/05/29/428308/dizajn_i_vazhnye_kharakteristiki_umnogo_koltsa_galaxy_ring_podtverzhdeny_ofitsialno/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='10:00'}
Post{title='Ghost of Tsushima продолжает лидировать в чарте продаж Steam', detailsLink='https://4pda.to/2024/05/29/428288/ghost_of_tsushima_prodolzhaet_lidirovat_v_charte_prodazh_steam/', author='Оксана Рубко', authorDetailsLink='/forum/index.php?showuser=11029883', dateOfCreated='09:45'}
Post{title='Xiaomi выпустила детские часы-трекер с GPS и двумя камерами', detailsLink='https://4pda.to/2024/05/29/428307/xiaomi_vypustila_detskie_chasy_treker_s_gps_i_dvumya_kamerami/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='09:30'}
Post{title='AMD Ryzen 9000 заметно обогнал нынешний флагман в бенчмарке', detailsLink='https://4pda.to/2024/05/29/428306/amd_ryzen_9000_zametno_obognal_nyneshnij_flagman_v_benchmarke/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='09:00'}
Post{title='Acer представила игровой хромбук со свежим процессором Intel', detailsLink='https://4pda.to/2024/05/29/428305/acer_predstavila_igrovoj_khrombuk_so_svezhim_protsessorom_intel/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='08:30'}
Post{title='Россияне начали чаще покупать консоли в начале 2024 года', detailsLink='https://4pda.to/2024/05/29/428289/rossiyane_nachali_chasche_pokupat_konsoli_v_nachale_2024_goda/', author='Оксана Рубко', authorDetailsLink='/forum/index.php?showuser=11029883', dateOfCreated='08:15'}
Post{title='Объявлены приложения-финалисты премии Apple Design Award', detailsLink='https://4pda.to/2024/05/29/428304/obyavleny_prilozheniya_finalisty_premii_apple_design_award/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='08:00'}
Post{title='POCO Pad с квадродинамиками уже доступен для покупки', detailsLink='https://4pda.to/2024/05/25/428145/poco_pad_s_kvadrodinamikami_uzhe_dostupen_dlya_pokupki/', author='Вадим Макаренко', authorDetailsLink='/forum/index.php?showuser=1929816', dateOfCreated='25.05.24'}
Post{title='ADATA анонсировала мощный ноутбук с 96 ГБ ОЗУ и другие новинки', detailsLink='https://4pda.to/2024/05/29/428303/adata_anonsirovala_moschnyj_noutbuk_s_96_gb_ozu_i_drugie_novinki/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='07:30'}
Post{title='Samsung Galaxy Watch7 Ultra с квадратно-круглым дизайном показали на первых рендерах', detailsLink='https://4pda.to/2024/05/24/428160/samsung_galaxy_watch7_ultra_s_kvadratno_kruglym_dizajnom_pokazali_na_pervykh_renderakh/', author='Вадим Макаренко', authorDetailsLink='/forum/index.php?showuser=1929816', dateOfCreated='24.05.24'}
Post{title='Новый вирус для кражи данных маскируется под популярное ИИ-приложение', detailsLink='https://4pda.to/2024/05/29/428282/novyj_virus_dlya_krazhi_dannykh_maskiruetsya_pod_populyarnoe_ii_prilozhenie/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='07:00'}
Post{title='Деревянный проектор Openhagen с функциями Smart TV оценили в $899', detailsLink='https://4pda.to/2024/05/29/428266/derevyannyj_proektor_openhagen_s_funktsiyami_smart_tv_otsenili_v_899/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='06:30'}
Post{title='В Steam начался фестиваль крафта и выживания в открытом мире', detailsLink='https://4pda.to/2024/05/29/428287/v_steam_nachalsya_festival_krafta_i_vyzhivaniya_v_otkrytom_mire/', author='Оксана Рубко', authorDetailsLink='/forum/index.php?showuser=11029883', dateOfCreated='06:00'}
Post{title='Инсайд: vivo S19 получит тонкий корпус с батареей на 6000 мАч', detailsLink='https://4pda.to/2024/05/29/428262/insajd_vivo_s19_poluchit_tonkij_korpus_s_batareej_na_6000_mach/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='05:30'}
Post{title='Обзор HUAWEI MateBook X Pro 2024: лучший лэптоп HUAWEI стал ещё круче', detailsLink='https://4pda.to/2024/05/28/428302/obzor_huawei_matebook_x_pro_2024_luchshij_leptop_huawei_stal_eschyo_kruche/', author='Автора нет', authorDetailsLink='Ссылки нет', dateOfCreated='Даты создания нет'}
Post{title='Не взлетел. The Rogue Prince of Persia плохо стартовал в Steam', detailsLink='https://4pda.to/2024/05/28/428275/ne_vzletel_the_rogue_prince_of_persia_plokho_startoval_v_steam/', author='Валентин Карузов', authorDetailsLink='/forum/index.php?showuser=9326780', dateOfCreated='28.05.24'}
Post{title='Инсайды #3409: АКБ будущих Android-флагманов, Xiaomi 15 и ноутбук Red Magic', detailsLink='https://4pda.to/2024/05/28/428271/insajdy_3409_akb_buduschikh_android_flagmanov_xiaomi_15_i_noutbuk_red_magic/', author='Шамиль Алиуллов', authorDetailsLink='/forum/index.php?showuser=1594798', dateOfCreated='28.05.24'}
Post{title='Google запатентовала ИИ для ранней диагностики рака кожи', detailsLink='https://4pda.to/2024/05/28/428285/google_zapatentovala_ii_dlya_rannej_diagnostiki_raka_kozhi/', author='Вадим Макаренко', authorDetailsLink='/forum/index.php?showuser=1929816', dateOfCreated='28.05.24'}
Post{title='«Компакт с неплохими камерами». Первые обзоры Sony Xperia 10 VI', detailsLink='https://4pda.to/2024/05/28/428301/kompakt_s_neplokhimi_kamerami_pervye_obzory_sony_xperia_10_vi/', author='Автора нет', authorDetailsLink='Ссылки нет', dateOfCreated='Даты создания нет'}
Post{title='Инсайдер: десктопные чипы AMD Ryzen 9000 представят уже совсем скоро', detailsLink='https://4pda.to/2024/05/28/428296/insajder_desktopnye_chipy_amd_ryzen_9000_predstavyat_uzhe_sovsem_skoro/', author='Вадим Макаренко', authorDetailsLink='/forum/index.php?showuser=1929816', dateOfCreated='28.05.24'}
Post{title='OpenAI сформировала комитет по безопасности и уже работает над обучением новой ИИ', detailsLink='https://4pda.to/2024/05/28/428299/openai_sformirovala_komitet_po_bezopasnosti_i_uzhe_rabotaet_nad_obucheniem_novoj_ii/', author='Вадим Макаренко', authorDetailsLink='/forum/index.php?showuser=1929816', dateOfCreated='28.05.24'}
Post{title='Сбер выпустил Kandinsky Video 1.1. Что нового?', detailsLink='https://4pda.to/2024/05/28/428292/sber_vypustil_kandinsky_video_1_1_chto_novogo/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='28.05.24'}
Post{title='Слух: Capcom делает ремейки двух забытых Resident Evil', detailsLink='https://4pda.to/2024/05/28/428269/slukh_capcom_delaet_remejki_dvukh_zabytykh_resident_evil/', author='Валентин Карузов', authorDetailsLink='/forum/index.php?showuser=9326780', dateOfCreated='28.05.24'}
Post{title='MSI создала 4,5-слотовую GeForce RTX 4090 со встроенной «водянкой» [ФОТО]', detailsLink='https://4pda.to/2024/05/28/428300/msi_sozdala_4_5_slotovuyu_geforce_rtx_4090_so_vstroennoj_vodyankoj_foto/', author='Вадим Макаренко', authorDetailsLink='/forum/index.php?showuser=1929816', dateOfCreated='28.05.24'}
Post{title='Xiaomi показала недорогой удлинитель с портами быстрой зарядки мощностью до 67 Вт', detailsLink='https://4pda.to/2024/05/28/428283/xiaomi_pokazala_nedorogoj_udlinitel_s_portami_bystroj_zaryadki_moschnostyu_do_67_vt/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='28.05.24'}
Post{title='HP выпустила изогнутый 37,5-дюймовый монитор с соотношением сторон 24:10', detailsLink='https://4pda.to/2024/05/28/428268/hp_vypustila_izognutyj_37_5_dyujmovyj_monitor_s_sootnosheniem_storon_24_10/', author='Виктория Анисимова', authorDetailsLink='/forum/index.php?showuser=11009471', dateOfCreated='28.05.24'}
Post{title='Не просто вор. Microids опубликовала тизер Arsene Lupin: Once a Thief [ВИДЕО]', detailsLink='https://4pda.to/2024/05/28/428274/ne_prosto_vor_microids_opublikovala_tizer_arsene_lupin_once_a_thief_video/', author='Валентин Карузов', authorDetailsLink='/forum/index.php?showuser=9326780', dateOfCreated='28.05.24'}
Post{title='Первый пациент — только начало. Какие планы у Neuralink?', detailsLink='https://4pda.to/2024/05/28/428278/pervyj_patsient_tolko_nachalo_kakie_plany_u_neuralink/', author='Автора нет', authorDetailsLink='Ссылки нет', dateOfCreated='Даты создания нет'}
Post{title='«СДЭК»: ПВЗ восстановят выдачу отправлений не позднее 29 мая', detailsLink='https://4pda.to/2024/05/28/428298/sdek_pvz_vosstanovyat_vydachu_otpravlenij_ne_pozdnee_29_maya/', author='Вадим Макаренко', authorDetailsLink='/forum/index.php?showuser=1929816', dateOfCreated='28.05.24'}
